Variable,Variable Number,Topic,Topic Number,Subtopic,Subtopic Number,Survey Years,Availability,Description,Table Name,Type,Edit Flag Variable,Imputation Strategy,Response Codes,Question Text,Instrument Variable Name(s),Disclosure,Conditions in Universe,User Notes
XYMETHOD,19,Admin,1,Geography,2,"2019 National, 2019 Metro",IUF Only,Flag indicating latitude and longitude assignment method,HOUSEHOLD,Character,NA,Coming soon,A: Address||BL: Block estimate||E: eLot estimate||M: MAF||MS: MAF using survivor MAFID||P: Lat / Lon from parcel file||PE: Lat / Lon estimate from parcel file||Z4: Zip 4 imputation||Z5: Zip 5 imputation,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),
DEGREE,21,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National",IUF Only,Average heating / cooling degree days,HOUSEHOLD,Character,NA,Coming soon,"1: Coldest: 7,001 or more heating degree days and less than 2,000 cooling degree days||2: Cold: 5,500 to 7,000 heating degree days and less than 2,000 cooling degree days||3: Cool: 4,000 to 5,499 heating degree days and less than 2,000 cooling degree days||4: Mild: Less than 4,000 heating degree days and less than 2,000 cooling degree days||5: Mixed: 2,000 to 3,999 heating degree days and 2,000 or more cooling degree days||6: Hot: less than 2,000 heating degree days and 2,000 or more cooling degree days",NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),
RUCA_2010,22,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2010 Rural-Urban Commuting Areas code,HOUSEHOLD,Numeric,NA,Coming soon,"1: Metropolitan area core: primary flow within an urbanized area (UA)||2: Metropolitan area high commuting: primary flow 30% or more to a UA||3: Metropolitan area low commuting: primary flow 10% to 30% to a UA||4: Metropolitan area core: primary flow within an Urban Cluster of 10,000 to 49,999 (large UC)||5: Metropolitan high commuting: primary flow 30% or more to a large UC||6: Metropolitan low commuting: primary flow 10% to 30% to a large UC||7: Small town core: primary flow within an Urban Cluster of 2,500 to 9,999 (small UC)||8: Small town high commuting: primary flow 30% or more to a small UC||9: Small town low commuting: primary flow 10% to 30% to a small UC||10: Rural areas: primary flow to a tract outside a UA or UC||99: Not coded: Census tract has zero population and no rural-urban identifier information",NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),This item uses Rural-Urban Commuting Area codes defined by the Department of Agriculture. More information on these definitions can be found at http://www.ers.usda.gov/data-products/rural-urban-commuting-area-codes.aspx.
RUCC_2013,23,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2013 Rural-Urban Continuum Codes,HOUSEHOLD,Numeric,NA,Coming soon,"1: Counties in metro areas of 1 million population or more||2: Counties in metro areas of 250,000 to 1 million population||3: Counties in metro areas of fewer than 250,000 population||4: Urban population of 20,000 or more, adjacent to a metro area||5: Urban population of 20,000 or more, not adjacent to a metro area||6: Urban population of 2,500 to 19,999, adjacent to a metro area||7: Urban population of 2,500 to 19,999, not adjacent to a metro area||8: Completely rural or less than 2,500 urban population, adjacent to a metro area||9: Completely rural or less than 2,500 urban population, not adjacent to a metro area",NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),This item uses Rural-Urban Continuum Codes defined by the Department of Agriculture. More information on these definitions can be found at http://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx.
WEIGHT,1,Admin,1,Weighting,3,"2019 National, 2019 Metro",PUF,Final weight,HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999",Final weight,NA,None,INTSTATUS in ('1' '2' '3'),"Each housing unit in the AHS represents itself and a number of other units. In order to develop estimates using the AHS the final weight must be applied to the survey data. The final weight starts with the inverse of the sampling fraction (PWT) and incorporates several adjustment factors that minimize sampling errors and errors from incomplete survey data. <br/> <br/> The Noninterview Adjustment Factor increases the weight of each interviewed unit to account for sampled units that were not interviewed. This adjustment is applied to five classes of geography: central cities, urban and rural inside MSAs, urban and rural outside MSAs. Over time the geographic boundaries related to these five classes may be redefined by local or state governments. For National surveys, WEIGHT uses the boundaries as they were officially defined in 1980. For Metro surveys, WEIGHT uses the boundaries as they were defined in the decennial year prior to the survey year. <br/> <br/> More information on weighting can be found at www.census.gov/programs-surveys/ahs/tech-documentation/def-errors-changes.html. <br/> <br/> WEIGHT may be used with all Metro surveys, and for National survey years 1997, 1999, and 2015 and later. For National survey years 2001 to 2013, WGT90GEO should be used as the final weight."
SPLITSAMP,2,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating split sample group,HOUSEHOLD,Character,NA,Coming soon,1: Group 1||2: Group 2,NA,NA,None,INTSTATUS in ('1' '2' '3'),"Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a split sample flag is assigned to designate group 1 or 2. In 2019, Group 1 included the topics Food Security and Post-Secondary Education; Group 2 included Home Accessibility. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes."
SP1WEIGHT,3,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Final weight for split sample: group 1 topical modules,HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999",NA,NA,None,INTSTATUS in ('1' '2' '3') and SPLITSAMP = '1',"Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. In 2019, Group 1 included the topics Food Security and Post-Secondary Education; Group 2 included Home Accessibility. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes."
SP2WEIGHT,4,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Final weight for split sample: group 2 topical modules,HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999",NA,NA,None,INTSTATUS in ('1' '2' '3') and SPLITSAMP = '2',"Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. In 2019, Group 1 included the topics Food Security and Post-Secondary Education; Group 2 included Home Accessibility. In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes."
STATEWGT,5,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Final weight for state estimates,HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999||M or -9: State weight not available",NA,NA,None,INTSTATUS in ('1' '2' '3'),"Use STATEWGT when producing state-level estimates. Note that in 2015, STATEWGT is the same as WEIGHT for the following states: CA, FL, NY, PA, and TX. Starting in 2017, STATEWGT is the same as WEIGHT for two additional states: IL and MA. These seven states will be available every survey year; selected states will also be available in each year (for core estimates, not topical modules). For 2015 and 2019, the following states are also available: CO, OH. For 2017, the following states are also available: MD, VA."
REPWEIGHTXXX,6,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Replicate weight (XXX represents 1 - 160),HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999",NA,NA,None,INTSTATUS in ('1' '2' '3'),More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.
SP1REPWGTXXX,8,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Replicate weight for split sample: group 1 topical modules (XXX represents 1 - 160),HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999",NA,NA,None,INTSTATUS in ('1' '2' '3') and SPLITSAMP = '1',More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.
SP2REPWGTXXX,9,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Replicate weight for split sample: group 2 topical modules (XXX represents 1 - 160),HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999",NA,NA,None,INTSTATUS in ('1' '2' '3') and SPLITSAMP = '2',More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.
STATEREPWGTXXX,12,Admin,1,Weighting,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Replicate weight for state estimates (XXX represents 1 - 160),HOUSEHOLD,Numeric,NA,Coming soon,"0 : 99999: 0 to 99,999||M or -9: State replicate weights not available",NA,NA,None,INTSTATUS in ('1' '2' '3'),More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.
JXXXXX,1,Admin,1,Edit Variables,4,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Edit flag for XXXXX (where XXXXX represents the name of the variable),ALL,Character,NA,Coming soon,0: No change||1: Changed by edit||2: Changed by imputation||3: Changed by both edit and imputation,NA,NA,None,INTSTATUS in ('1' '2' '3'),JXXXXX is found in the same relational table as XXXXX and appears in the same survey years as XXXXX.
TENURE,1,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Owner or renter status of unit,HOUSEHOLD,Character,JTENURE,Coming soon,1: Owned or being bought by someone in your household||2: Rented||3: Occupied without payment of rent||N or -6: Not applicable,"Is this unit (1) Owned or being bought by someone in your household?, (2) Rented?, or (3) Occupied without payment of rent?",TENURE,None,INTSTATUS = '1',
CONDO,2,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro",PUF,Flag indicating unit is a condominium,HOUSEHOLD,Character,JCONDO,Coming soon,1: Yes||2: No,Is this unit part of a condominium?,CONDO1,None,INTSTATUS in ('1' '2' '3'),The coding for this variable changed in 2015. It is now simply a flag indicating if the unit is a condo. The variable COOP now captures the same information for cooperatives.
COOP,3,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Flag indicating unit is a cooperative,HOUSEHOLD,Character,JCOOP,Coming soon,1: Yes||2: No,Is this unit part of a cooperative?,CONDO2,Withheld,INTSTATUS in ('1' '2' '3'),
HOA,4,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating unit is part of a homeowner's association,HOUSEHOLD,Character,JHOA,Coming soon,1: Yes||2: No||M or -9: Not reported,Is this unit part of a homeowner association?,HOMEASC,None,INTSTATUS in ('1' '2' '3'),
OWNLOT,5,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating owner owns the lot,HOUSEHOLD,Character,JOWNLOT,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,See User Notes,See User Notes,None,MHMOVE <> '1' and COOP = '2' and CONDO = '2' and (BLD = '01' and (TENURE in ('1' '2' '3') or VACANCY in ('01' '02' '03' '04' '05')) or (TENURE = '1' or VACANCY in ('03' '05'))),"OWNLOT is determined by using information from multiple items, including OWNLOT1, OWNLOT2 and INCS2. OWNLOT in 2013 and earlier was only provided for mobile homes. However, there are other situations where the unit, but not the land, is owned. This sometimes occurs on university property where the unit itself is owned, but the land is rented."
MGRONSITE,6,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating there is an owner or property manager onsite,HOUSEHOLD,Character,JMGRONSITE,Coming soon,1: 2 to 4 unit building has owner on-site||2: 2 to 4 unit building has manager on-site||3: 5 or more unit building has owner and / or manager on-site||4: No owner / manager on-site||N or -6: Not applicable,See User Notes,See User Notes,None,INTSTATUS in ('1' '2' '3') and BLD in ('04' '05' '06' '07' '08' '09') and (TENURE in ('2' '3') or VACANCY in ('01' '02' '04')),"MGRONSITE is determined using OWNHEREQA (Does the owner of the building live in one of the units in this building?), OWNHEREQB (Does the property manager live in one of the units in this building?), and OWNHEREQC (Does the owner or property manger live in one of the units in this building?). OWNHEREQA and OWNHEREQB are asked of multiunit buildings with 2-4 units. OWNHEREQC is asked of buildings with 5 or more units."
COMPLEX,7,Occupancy and Tenure,2,Tenure,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Flag indicating this building is part of an apartment complex,HOUSEHOLD,Character,JCOMPLEX,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Some apartment buildings are part of a complex of multiple apartment buildings. Is this building part of a complex?,COMPLEX,None,INTSTATUS = '1' and BLD in ('04' '05' '06' '07' '08' '09'),
VACANCY,1,Occupancy and Tenure,2,Vacancy Characteristics,2,"2019 National, 2019 Metro, 2017 National, 2015 National",PUF,Vacancy status,HOUSEHOLD,Character,JVACANCY,Coming soon,"01: For rent only||02: For rent or for sale||03: For sale only||04: Rented, but not yet occupied||05: Sold, but not yet occupied||06: Held for occasional use throughout the year||07: Other (specify)||08: Seasonal-summer only||09: Seasonal - winter only||10: Other seasonal (specify)||11: Migratory||N or -6: Not applicable",See User Notes,See User Notes,None,INTSTATUS in ('2' '3'),"VACANCY is determined using VACANC1 (Is the unit intended for year-round use, for occupancy only on a seasonal basis, or for use by migrant workers?) and VACANC2 (Is that house for rent only? For rent or for sale? For sale only? Rented, but not yet occupied? Sold, but not yet occupied? Held for occasional use throughout the year?). The type for this variable changed in 2015 from numeric to character. Leading zeros were added to codes 1-9 as a result of the type change."
VACANCY2,2,Occupancy and Tenure,2,Vacancy Characteristics,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Additional vacancy status information,HOUSEHOLD,Character,JVACANCY2,Coming soon,01: Foreclosure||02: Personal / family reasons||03: Legal proceedings||04: Preparing for rent or sale||05: Held for storage||06: Needs repairs||07: Currently under renovation||08: Specific use||09: Extended absence||10: Abandoned||11: Other||M or -9: Not reported||N or -6: Not applicable,See User Notes,See User Notes,Withheld,INTSTATUS in ('2' '3') and VACANCY = '07',"VACANCY2 is asked when the respondent indicates that the unit is vacant for a reason that is not listed in VACANC2 (Is that house for rent only? For rent or for sale? For sale only? Rented, but not yet occupied? Sold, but not yet occupied? Held for occasional use throughout the year?)."
TIMESHARE,3,Occupancy and Tenure,2,Vacancy Characteristics,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating ownership of unit time shared,HOUSEHOLD,Character,JTIMESHARE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Is the ownership of this housing unit time-shared?,TIMSHR,None,INTSTATUS in ('2' '3'),
MHMOVE,4,Occupancy and Tenure,2,Vacancy Characteristics,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Flag indicating mobile home to be moved,HOUSEHOLD,Character,JMHMOVE,Coming soon,1: Mobile home moveable||2: Mobile home not moveable||M or -9: Not reported||N or -6: Not applicable,Is the manufactured / mobile home to be moved?,MHSTAY,None,INTSTATUS in ('2' '3') and VACANCY in ('03' '05') and BLD = '01',"MHMOVE (2015 and later) and MHSTAY (pre-2015) contain the same information, but presented differently."
VACMONTHS,5,Occupancy and Tenure,2,Vacancy Characteristics,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Number of months unit has been vacant,HOUSEHOLD,Numeric,JVACMONTHS,Coming soon,0: Less than 1 month||1 : 24: 1 to 24 months||25: More than 2 years||26: Never occupied as a permanent home||M or -9: Not reported||N or -6: Not applicable,How many months has that unit been vacant?,MOVAC,None,INTSTATUS = '3',
MONLSTOCC,6,Occupancy and Tenure,2,Vacancy Characteristics,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Number of months since this unit has been occupied as permanent home,HOUSEHOLD,Numeric,JMONLSTOCC,Coming soon,0: Less than 1 month||1 : 24: 1 to 24 months||25: More than 2 years||26: Never occupied as a permanent home||M or -9: Not reported||N or -6: Not applicable,How many months has it been since this unit was occupied as a permanent home?,MOPERM,None,INTSTATUS in ('2' '3'),
